user_id,brand_id,type,visit_datetime
10944750,26619,0,6月28日
10944750,5185,0,7月10日
10944750,23662,0,6月19日
10944750,23662,0,6月19日
10944750,19673,0,7月5日
10944750,19673,0,7月5日
10944750,19673,0,7月5日
10944750,19673,0,7月5日
10944750,19673,0,7月4日
10944750,19673,0,7月4日
10944750,19673,1,7月5日
10944750,13779,0,7月8日
10944750,21501,0,7月7日
10944750,21501,0,7月7日
10944750,21501,0,7月7日
10944750,21501,0,7月7日
10944750,11465,0,6月28日
10944750,25687,0,7月2日
10944750,25687,0,7月2日
10944750,25687,0,7月2日
10944750,25687,0,6月15日
10944750,25687,0,6月15日
10944750,25687,0,7月2日
10944750,25687,0,7月2日
10944750,25687,0,6月15日
10944750,23564,0,7月2日
10944750,29547,0,7月9日
10944750,29547,0,7月9日
10944750,29547,0,7月9日
10944750,12055,0,7月2日
10944750,12055,0,7月2日
10944750,12055,0,7月2日
10944750,12055,0,7月2日
10944750,19414,0,6月28日
10944750,6294,0,7月13日
10944750,6294,0,7月13日
10944750,6294,0,7月13日
10944750,10970,0,7月3日
10944750,10970,0,7月3日
10944750,8719,0,7月3日
10944750,21672,0,6月23日
10944750,13592,0,7月2日
10944750,13592,0,7月2日
10944750,13592,0,7月2日
10944750,11776,0,6月24日
10944750,6918,0,7月10日
10944750,6918,0,7月10日
10944750,6918,0,7月10日
10944750,25372,0,7月3日
10944750,25372,0,7月3日
10944750,25372,1,7月3日
10944750,25372,1,7月3日
10944750,25372,0,7月12日
10944750,25372,0,7月3日
10944750,25372,0,7月3日
10944750,25372,0,7月9日
10944750,25372,0,7月3日
10944750,25372,0,7月3日
10944750,25372,0,7月3日
10944750,25372,0,7月3日
10944750,25372,0,7月3日
10944750,679,0,6月24日
10944750,24359,0,7月4日
10944750,12599,0,7月3日
12028500,20386,0,7月12日
12028500,15935,0,7月8日
12028500,27014,0,7月3日
12028500,9922,0,7月8日
12028500,9922,0,7月8日
12028500,20796,0,7月6日
